fileID,vowel,f1,f2,vot,notes
ne03_kaka,a,780.75,1797.76,38.06,'
ne03_kaka1,a,816.08,1736.52,33.54,'
ne03_kaka2,a,881.51,1589.88,45.88,'
ne03_keke,e,704.20,2607.60,32.89,'
ne03_keke1,e,562.95,1705.15,28.42,'
ne03_keke2,e,561.55,2569.54,39.24,'
ne03_kiki,i,331.48,1644.12,65.92,'
ne03_kiki1,i,814.29,2708.80,47.49,'
ne03_kiki2,i,803.38,2296.42,67.24,'
ne03_koko,o,505.60,1071.51,48.78,'
ne03_koko1,o,618.97,1216.47,35.82,'
ne03_koko2,o,569.80,1091.94,40.05,'
ne03_kuku,u,516.24,990.51,52.41,'
ne03_kuku1,u,465.48,1071.71,57.36,'
ne03_kuku2,u,412.34,1062.66,49.14,'
ne03_paka,a,549.11,1647.99,29.45,'
ne03_paka1,a,728.53,1833.34,37.97,'
ne03_paka2,a,740.85,1924.60,26.33,'
ne03_peke,e,549.08,1644.09,16.72,'
ne03_peke1,e,734.21,2482.20,36.42,'
ne03_peke2,e,604.72,2345.78,23.82,'
ne03_piki,i,1971.13,2764.61,53.73,'
ne03_piki1,i,520.35,2738.14,52.27,'
ne03_piki2,i,703.30,2339.25,53.45,'
ne03_poko,o,1035.20,2141.53,39.50,'
ne03_poko1,o,583.00,1185.89,38.51,'
ne03_poko2,o,594.61,1101.81,40.67,'
ne03_puku,u,864.67,1321.44,34.09,'
ne03_puku1,u,428.42,971.29,49.55,'
ne03_puku2,u,496.50,997.80,78.06,'
ne03_taka,a,737.28,1838.10,23.03,'
ne03_taka1,a,847.57,1724.07,20.33,'
ne03_taka2,a,1399.02,1810.25,42.71,'
ne03_teke,e,576.36,1539.96,43.67,'
ne03_teke1,e,573.07,1862.06,40.28,'
ne03_teke2,e,564.70,1678.92,32.54,'
ne03_tiki,i,412.08,2793.61,47.39,'
ne03_tiki1,i,949.44,2656.35,47.83,'
ne03_tiki2,i,408.44,1810.89,37.14,'
ne03_toko,o,614.00,1107.12,38.35,'
ne03_toko1,o,619.36,1193.56,39.21,'
ne03_toko2,o,531.40,1052.52,29.83,'
ne03_tuku,u,445.60,1097.26,42.88,'
ne03_tuku1,u,428.34,1051.67,59.80,'
ne03_tuku2,u,473.22,1126.18,43.67,'
